German,English
freunde,friends
bisschen,a little
sterben,die
darauf,on it
bald,soon
minuten,minutes
echt,Really
bereit,ready
eins,one
augen,eyes
runter,down
jungs,guys
seiner,his
polizei,police
auto,automobile
eure,your
vielen,many
stehen,stand
weit,far
meinst,mean
draußen,outside
tür,door
dad,dad
wurden,became
verrückt,crazy
kerl,Guy
hätten,would have
einzige,only
vorbei,over
treffen,meet
ganzen,entire
hi,Hi
ahnung,idea
teufel,devil
kenne,know
hinter,behind
fast,nearly
name,Surname
arbeiten,work
gerne,gladly
dran,your turn
neue,new
ziemlich,quite
ruhig,quiet
ging,went
sorgen,care for
verstanden,understood
tochter,daughter
toll,Great
jemanden,someone
sogar,even
überhaupt,at all
he,hey
spät,late
hört,hears
frauen,women
hand,hand
drin,inside
schau,look
nimm,take
seinem,his
mama,mummy
lang,long
solltest,should
verloren,lost
art,art
sah,saw
verstehen,understand
große,size
darum,therefore
denkst,think
job,job
ruhe,quiet
braucht,needs
woher,from where
spielen,play
idee,idea
suchen,seek
je,ever
kommst,come
liegt,lies
grund,reason
versuchen,attempt
jahr,year
gekommen,came
wasser,water
gewesen,been
endlich,finally
schwester,sister
keiner,none
wenig,few
tod,death
versucht,tried
oben,above
letzten,last
geschichte,story
erste,first
alter,age
kurz,short
bedeutet,means
niemals,never
